,0,1,2
75,8180329.675,9729848.386,-800438.2393
76,8176691.449,9725133.558,-1062702.813
77,8388804.955,9977506.464,-867062.6469
78,8792907.503,10459044.19,-185063.9955
79,9309853.215,11076548.72,-1321186.332
80,8674416.083,10318654.93,-390677.1402
81,8006131.096,9521752.963,-548299.2729
82,8668080.942,10312106.39,304047.5689
83,7999127.839,9514569.767,972841.7064
84,7590955.126,9028318.436,-174763.1113
85,7080919.436,8419976.801,876293.8902
86,6582768.279,7826248.81,-245345.3226
87,6229975.684,7405263.617,1877857.53
88,6019101.535,7153938.239,-1755286.473
89,6250114.338,7429903.449,-662094.578
90,5828014.173,6926645.631,-1260691.023
91,5379863.823,6391985.083,433386.6606
92,4985759.27,5922005.948,343839.3238
93,4860793.769,5773348.434,578510.5506
94,4926274.852,5852163.74,507543.5961
95,5250150.134,6239335.147,1337446.237
96,4877626.749,5795387.861,-1428919.062
97,4613429.411,5479923.704,2623403.662
98,4328164.471,5140517.699,3775904.342
99,4095034.009,4863313.208,4162986.227
100,3799174.321,4511414.161,3160745.669
101,3777303.564,4485960.32,4719698.993
102,3921761.112,4659792.806,1389839.715
103,3739871.675,4443252.31,-1197706.085
104,3683429.087,4375866.167,-2825186.797
105,3710785.807,4408167.404,-337572.288
106,3465184.973,4115340.443,213127.709
107,3254631.037,3864522.803,-62180.44351
108,3386858.785,4022022.987,4394903.272
109,3471706.462,4123917.625,2782744.903
110,3325911.272,3950652.764,216306.173
111,3889209.273,4623357.637,-1131651.232
112,3607257.78,4286964.231,-92046.72496
113,3482575.81,4138639.728,209443.7668
114,3333695.164,3961415.676,-468652.0372
115,3332970.255,3960469.121,-1835985.19
116,3274060.435,3890105.344,-1960198.955
117,3121601.559,3708202.006,-3091827.231
118,3010513.849,3575137.064,-1685518.694
119,2890195.818,3431252.392,2797332.414
120,2817339.557,3345099.771,3953171.547
121,2655872.392,3153392.787,1681515.668
122,4381618.065,5211326.88,-3931777.123
123,4510869.666,5364456.668,-1091518.777
124,4272475.099,5080186.782,1647317.527
125,4326082.779,5144177.298,2192803.568
126,4107988.015,4884510.315,-739964.9383
127,4556486.075,5419046.768,-568261.2985
128,5679342.789,6757946.436,-1334496.49
129,5886252.861,7004337.448,-2645970.156
130,6618308.579,7877539.515,1234924.197
131,7272566.969,8659051.712,1574473.465
132,6770804.943,8060826.864,4749027.352
133,6314475.297,7517392.029,-255793.139
134,5837454.936,6948505.977,-5260123.514
135,6347353.553,7556403.872,981851.3035
136,5899779.443,7022790.628,-439325.1381
137,5688286.536,6770913.555,264182.5115
138,5407305.635,6435818.636,1112823.696
139,6122899.195,7289066.517,3032853.06
