,0,1,2
78,7224964.913208284,638957.6276328512,0.0150625
79,6940078.417027919,639967.1711012777,0.0151438
80,8429095.648519402,672056.7816181083,0.0151688
81,8165763.538399086,670581.9269380645,0.0152625
82,8232421.464446355,673542.7521987904,0.015325
83,8426370.492313068,669816.521976453,0.0154563
84,8205617.8108720025,657946.7161325002,0.0154375
85,9137919.200790202,654185.1680250684,0.0154938
86,7746798.727229266,635079.5806090246,0.0155125
87,7397497.696928173,623219.8429187048,0.015525
88,7399274.624237227,623468.3033656966,0.0155375
89,8090002.514604394,622253.7313603617,0.0154813
90,7694205.060300595,616538.2559837038,0.0155062999999999
91,7260287.589945197,606336.2231570081,0.0155563
92,7077333.670450287,602791.3187087593,0.0155813
93,6901345.165606844,591529.2226068723,0.0156
94,6775082.0894917585,590227.5838454617,0.0155938
95,6602846.093172078,580727.9836958878,0.0155688
96,6255987.3189063715,571259.9282847374,0.0155688
97,6205201.6574911,560284.1611761107,0.015575
98,6211868.280993524,561049.5137812074,0.0155563
99,6144551.09559412,548714.0953094597,0.0155438
100,6056699.305975236,529984.2985311209,0.0155313
101,5971253.358689904,514419.91103944264,0.0152188
102,5902349.341494174,498001.2887119899,0.0151813
103,5630408.72820027,475663.69549618446,0.0150188
104,5563200.825872764,463898.7781646566,0.0148937999999999
105,5568138.812129356,471748.43712316325,0.0148875
106,5404987.436630042,475704.30351474776,0.0148937999999999
107,5478885.141321952,480418.225974808,0.014875
108,5575644.778828165,482986.54818785674,0.01485
109,5613645.095132146,478740.44071236666,0.0148374999999999
110,5296861.367782145,457277.3363785952,0.0147812999999999
111,5198562.075630768,445962.24149640265,0.0147812999999999
112,5756456.548203195,444089.7252800323,0.0148
113,5625714.178503941,438380.33490602864,0.0148
114,5618173.682258977,437691.01722837926,0.0148
115,5605470.028551245,435354.30926442845,0.0148125
116,5676013.910558752,435537.4538063065,0.014825
117,5650264.22914712,437903.5018120267,0.014825
118,5711377.599208764,442009.82818687096,0.0148374999999999
119,5634596.695410778,452304.1749131092,0.0148374999999999
120,5658279.893266499,452739.5048287128,0.014825
121,5587120.039701748,441598.37646456907,0.0147812999999999
122,5320150.54910119,417771.2063120889,0.01475
123,5313614.049399549,406332.12037780526,0.0147812999999999
124,5395175.706204592,429281.7554600664,0.0147938
125,5409858.121404887,428251.64687966526,0.014775
126,5489459.863779997,427598.7500233425,0.0147938
127,5489301.653390245,415780.13034794346,0.0147812999999999
128,5505628.291140602,418631.5946460249,0.0147875
129,5525045.46180883,421197.67627910676,0.0147938
130,5524097.677228701,425110.78562761884,0.0148374999999999
131,5540519.01363405,431588.7844699722,0.0148563
132,5588067.944063178,427675.12608054985,0.0148688
133,5632314.735334327,423811.59690736793,0.0148688
134,5463813.211587902,399442.0730349111,0.0148625
135,5446240.9822588125,398489.6031203158,0.0148625
136,5025008.298624264,409869.11718853423,0.0149
137,5119340.7858635485,398726.60449574573,0.0149438
138,5072925.45521455,392478.32838626124,0.01495
139,5088882.373509993,386389.80198470625,0.014975
140,5060113.05453182,378473.1550624439,0.014975
141,4789922.777294354,361053.37312803447,0.014975
142,4713891.835466112,370411.10446599947,0.0149563
143,4596192.925945876,378284.7501234923,0.0150374999999999
144,4571888.150055724,376885.9773327346,0.0150438
145,4471586.5736055635,378613.56155362725,0.0150438
146,4333831.672219996,377711.82084385265,0.0150438
