date,index,eur/jpy,nikkei225,eem,eur/usd,dbc,aex,nasdaq,euribor,nikkei_eur,nasdaq_eur,eem_eur,dbc_eur,loanrate,nikkei_ret,nasdaq_ret,aex_ret,eem_ret,dbc_ret,loanrate_change,loss
2013-01-25,668,121.060997,10926.65039,44.16,1.336934,28.01,355.73999,3149.709961,0.1106,1322791.190083839,4210.9543369995745,59.03900544,37.44752134,0.021106,0.028383850357720064,0.006156007167158251,0.00453600735864601,-0.0033910058108270746,-0.0021398011017739194,0.0,-1.0826217235002584
2013-01-28,671,122.767998,10824.30957,43.849998,1.346602,28.0,356.679993,3154.300049,0.1106,1328878.8156411408,4247.586754583498,59.048495006796,37.704856,0.021106,-0.009410304226543431,0.0014562441379002422,0.0026389028043309892,-0.007044728760682961,-0.000357079096813262,0.0,0.11026526750081848
2013-01-29,672,121.633003,10866.71973,44.34,1.344628,28.16,358.079987,3153.659912,0.1106,1321751.7535192494,4240.499420152736,59.620805520000005,37.86472448,0.021106,0.003910392029364829,-0.00020296165675048883,0.003917387177579279,0.01111253098000864,0.005698021114637797,0.0,-0.32267735367460654
2013-01-30,673,122.459999,11113.9502,44.130001,1.349164,28.48,357.540009,3142.310059,0.1125,1361014.3303780498,4239.491608440676,59.538608669164,38.42419072,0.021125,0.022496211191242566,-0.0036054381921069023,-0.0015091196598726597,-0.004747358246388167,0.011299555253933224,1.9000000000001654e-05,-0.6295854833019813
2013-01-31,674,123.507004,11138.66016,44.220001,1.356834,28.469999,354.350006,3142.129883,0.1125,1375702.5449357606,4263.348657670423,59.99920083683401,38.62906262316601,0.021125,0.0022208603625823997,-5.7340352269008577e-05,-0.008962126970274653,0.002037352101724288,-0.00035122037852186594,0.0,0.185227445991509
2013-02-01,675,124.822998,11191.33984,44.509998,1.3611,28.58,355.549988,3179.100098,0.1125,1396936.5904656404,4327.0731433878,60.582558277800004,38.900237999999995,0.021125,0.004718296258930721,0.011697292031040973,0.0033807103903233937,0.006536640050537557,0.0038563063364684957,0.0,-0.8816767600741158
2013-02-04,678,126.620003,11260.34961,43.919998,1.364871,28.48,349.690002,3131.169922,0.1125,1425785.5013992486,4273.643022610062,59.945131590258,38.87152608,0.021125,0.006147420440790086,-0.015191456981449747,-0.01661879913856623,-0.013344086430105762,-0.00350508595794663,0.0,1.1052966353328055
2013-02-05,679,124.515999,11046.91992,43.970001,1.351169,28.59,348.429993,3171.580078,0.1125,1375518.2697118002,4285.340682411183,59.41090228116901,38.629921710000005,0.021125,-0.019136022238031458,0.012823199312553157,-0.003609724337349185,0.0011378542715645423,0.00385491979044561,0.0,-0.17180216314301752
2013-02-06,680,127.110001,11463.75,43.919998,1.358142,28.549999,345.859985,3168.47998,0.1125,1457157.2739637499,4303.24573699716,59.649593923716,38.774952741858,0.021125,0.037038234054039165,-0.0009779397099425324,-0.007403303575458153,-0.0011378542715645423,-0.0014001052584715623,0.0,-0.6689544511833126
2013-02-07,681,126.349998,11357.07031,43.529999,1.352393,28.440001,343.700012,3165.129883,0.1125,1434965.8109543594,4280.499497860019,58.869665937606996,38.462058272392994,0.021125,-0.0093493981051882,-0.0010578792773436874,-0.006264806757668495,-0.008919419072390244,-0.003860260978965524,0.0,0.5440753733532113
2013-02-08,682,125.342003,11153.16016,43.849998,1.338939,28.549999,345.130005,3193.870117,0.1125,1397959.4342342005,4276.3972605858635,58.712472472122,38.226707111061,0.021125,-0.01811760461472467,0.009039292245294206,0.004151953367240502,0.007324340616613689,0.003860260978965524,0.0,-0.19974688447758934
2013-02-12,686,126.241997,11369.12012,43.950001,1.340357,28.5,346.200012,3186.48999,0.1125,1435260.4280816796,4271.03416352643,58.908691490357,38.2001745,0.021125,0.019178038493098626,-0.0023133898926186447,0.003095505266955456,0.002277973676157341,-0.0017528138011440042,0.0,-0.3961551442428604
2013-02-13,687,125.502998,11251.41016,44.169998,1.345207,28.51,345.829987,3196.879883,0.1125,1412085.7068076597,4300.465196770781,59.417790499586005,38.35185157,0.021125,-0.010407450313566713,0.003255303196228354,-0.0010693901588023635,0.0049931334445183495,0.0003508156499756332,0.0,0.11986774669371618
2013-02-14,688,125.384003,11307.28027,44.150002,1.344447,28.469999,345.839996,3198.659912,0.1125,1417752.0632955208,4300.428722708664,59.357337738893996,38.276404745553,0.021125,0.004953321595174032,0.0005566470080768937,2.8941547983052374e-05,-0.0004528079787511352,-0.0014040367593275427,0.0,-0.11151501770943235
2013-02-15,689,124.121002,11173.83008,43.990002,1.335292,28.35,343.450012,3192.030029,0.1125,1386906.98570734,4262.292161483468,58.73949775058399,37.8555282,0.021125,-0.01187234575438545,-0.0020748574691307198,-0.0069346531938601075,-0.003630591524575788,-0.004223835991491676,0.0,0.6829413932974312
2013-02-19,693,124.990997,11372.33984,44.080002,1.334721,28.24,347.630005,3213.590088,0.1125,1421440.0948244205,4289.246175845448,58.834504349442,37.69252104,0.021125,0.01760963307624408,0.006731632542077648,0.012097134549678756,0.002043829391203289,-0.0038876175487199127,0.0,-0.9830076425237536
2013-02-20,694,125.522003,11468.28027,43.689999,1.339585,27.92,343.609985,3164.409912,0.1125,1439521.5104557807,4238.99605196652,58.526467310415,37.4012132,0.021125,0.008400909764201714,-0.015422123159279266,-0.011631460507850022,-0.00888699014189731,-0.011396134730869534,0.0,1.1327837630617923
2013-02-21,695,124.300003,11309.12988,43.09,1.327316,27.6,336.380005,3131.48999,0.1125,1405724.8780113896,4156.47676756684,57.19404644,36.6339216,0.021125,-0.013974633550391857,-0.010457670080514347,-0.02126576147787418,-0.013828268447064751,-0.011527505171067265,0.0,1.6857714984945869
2013-02-22,696,122.884003,11385.94043,43.279999,1.319435,27.6,339.869995,3161.820068,0.1125,1399149.9379579416,4171.816061421579,57.10514548056499,36.416406,0.021125,0.006768945170032126,0.009638906250280854,0.010321688678571306,0.004399659805118361,0.0,0.0,-0.9073391089945124
2013-02-25,699,124.330002,11662.51953,42.700001,1.319592,27.469999,340.26001,3116.25,0.1125,1450001.076489939,4112.17857,56.34657971959201,36.249190920408005,0.021125,0.024000942118618696,-0.014517476821698239,0.0011468838012822502,-0.013491667779082839,-0.004721309019271924,0.0,0.20852681120031827
2013-02-26,700,120.739998,11398.80957,42.939999,1.306506,27.42,335.290009,3129.649902,0.1125,1376292.2446841807,4088.906374862412,56.101366333494,35.82439452,0.021125,-0.02287131450642299,0.004290790044318982,-0.014714204811585141,0.005604825508543243,-0.0018217895696643893,0.0,0.7670711382189579
